"Region","Province","CityProvince","Barangay","Population","HouseholdPopulation","Nhouseholds","Area","Barangay_Count","BarangayArea","PopulationDensity"
"REGION III - CENTRAL LUZON","ZAMBALES","OLONGAPO CITY","Santa Rita",43632,43599,9660,21906.19,3102,7.06195680206318,6178.45750447705
"REGION IV-A – CALABARZON","RIZAL ","RODRIGUEZ (MONTALBAN)","San Jose",124868,124582,27826,16576.26,4018,4.12550024888004,30267.3597059892
"REGION IV-A – CALABARZON","RIZAL ","RODRIGUEZ (MONTALBAN)","San Isidro",117277,117199,26432,16576.26,4018,4.12550024888004,28427.3404254036
"REGION IV-A – CALABARZON","RIZAL ","CITY OF ANTIPOLO","Cupang",113613,113572,25810,16576.26,4018,4.12550024888004,27539.2057074394
"REGION IV-A – CALABARZON","RIZAL ","TAYTAY","San Juan",103343,103242,24271,16576.26,4018,4.12550024888004,25049.8106327965
"REGION IV-A – CALABARZON","RIZAL ","CITY OF ANTIPOLO","San Jose (Pob.)",103051,102145,23428,16576.26,4018,4.12550024888004,24979.0313375876
"REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL SUR","ZAMBOANGA CITY","Talon-talon",34916,34878,7724,16904.03,1904,8.87816701680672,3932.79377757848
"REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL SUR","ZAMBOANGA CITY","Mampang",34312,34210,7436,16904.03,1904,8.87816701680672,3864.76171658474
"REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL SUR","ZAMBOANGA CITY","Tumaga",30824,30810,6833,16904.03,1904,8.87816701680672,3471.88782793216
"REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL SUR","ZAMBOANGA CITY","Tetuan",29785,29568,7351,16904.03,1904,8.87816701680672,3354.85916671942
"REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL SUR","ZAMBOANGA CITY","Calarian",28899,28818,6764,16904.03,1904,8.87816701680672,3255.06379248025
"REGION V - BICOL","CAMARINES SUR","NAGA CITY","Concepcion Pequeño",23577,23350,4908,18114.47,3471,5.21880437914146,4517.70142874729
"REGION V - BICOL","CAMARINES SUR","NAGA CITY","San Felipe",17444,17432,3896,18114.47,3471,5.21880437914146,3342.52804525885
"REGION V - BICOL","CAMARINES SUR","NAGA CITY","Cararayan",15998,15789,3391,18114.47,3471,5.21880437914146,3065.45308805612
"REGION V - BICOL","SORSOGON","CITY OF SORSOGON (Capital)","Bibincahan",15738,15711,3491,18114.47,3471,5.21880437914146,3015.63324789519
"REGION V - BICOL","CAMARINES SUR","PILI (Capital)","San Jose",12599,12413,2576,18114.47,3471,5.21880437914146,2414.15448533686
"REGION VI - WESTERN VISAYAS","ILOILO","ILOILO CITY","Calumpang",15150,15136,3174,12773.46,3388,3.77020661157025,4018.3474172229
"REGION VI - WESTERN VISAYAS","AKLAN","MALAY","Manoc-Manoc",14810,14569,3298,12773.46,3388,3.77020661157025,3928.166683107
"REGION VI - WESTERN VISAYAS","AKLAN","KALIBO (Capital)","Andagaw",12703,12703,2801,12773.46,3388,3.77020661157025,3369.31136904175
"REGION VI - WESTERN VISAYAS","ANTIQUE","CALUYA","Semirara",12434,12336,2862,12773.46,3388,3.77020661157025,3297.96249410888
"REGION VI - WESTERN VISAYAS","AKLAN","MALAY","Balabag",12296,11752,3607,12773.46,3388,3.77020661157025,3261.35972555596
"REGION VII - CENTRAL VISAYAS","CEBU","CEBU CITY (Capital)","Guadalupe",61238,60848,15200,10452.01,2445,4.27485071574642,14325.1786020105
"REGION VII - CENTRAL VISAYAS","CEBU","LAPU-LAPU CITY (OPON)","Basak",59873,59864,15212,10452.01,2445,4.27485071574642,14005.8692060187
"REGION VII - CENTRAL VISAYAS","CEBU","CEBU CITY (Capital)","Lahug (Pob.)",38584,38414,8717,10452.01,2445,4.27485071574642,9025.81226003419
"REGION VII - CENTRAL VISAYAS","CEBU","CEBU CITY (Capital)","Tisa",37766,37749,7735,10452.01,2445,4.27485071574642,8834.46054873656
"REGION VII - CENTRAL VISAYAS","CEBU","CEBU CITY (Capital)","Basak San Nicolas",35422,35409,9194,10452.01,2445,4.27485071574642,8286.13730756094
"REGION VIII - EASTERN VISAYAS","SAMAR (WESTERN SAMAR)","CITY OF CATBALOGAN (Capital)","Canlapwas (Pob.)",12321,12293,2562,23234.78,4388,5.29507292616226,2326.880134006
"REGION VIII - EASTERN VISAYAS","NORTHERN SAMAR","CATARMAN (Capital)","Dalakit (Pob.)",11962,11900,2415,23234.78,4388,5.29507292616226,2259.08125663337
"REGION VIII - EASTERN VISAYAS","LEYTE","ORMOC CITY","Tambulilid",10323,10323,2307,23234.78,4388,5.29507292616226,1949.54822038341
"REGION VIII - EASTERN VISAYAS","SAMAR (WESTERN SAMAR)","CITY OF CATBALOGAN (Capital)","Mercedes",9716,9716,2006,23234.78,4388,5.29507292616226,1834.9133497283
"REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Poblacion",9454,9454,2185,23234.78,4388,5.29507292616226,1785.43338908309
"REGION X - NORTHERN MINDANAO","MISAMIS ORIENTAL","CAGAYAN DE ORO CITY (Capital)","Carmen",70492,70408,18221,20458.51,2022,10.1179574678536,6967.01881026526
"REGION X - NORTHERN MINDANAO","MISAMIS ORIENTAL","CAGAYAN DE ORO CITY (Capital)","Lapasan",43611,43445,10370,20458.51,2022,10.1179574678536,4310.25729635247
"REGION X - NORTHERN MINDANAO","BUKIDNON","CITY OF VALENCIA","Poblacion",35793,35669,8527,20458.51,2022,10.1179574678536,3537.57169999184
"REGION X - NORTHERN MINDANAO","MISAMIS ORIENTAL","CAGAYAN DE ORO CITY (Capital)","Kauswagan",35069,34981,8462,20458.51,2022,10.1179574678536,3466.01575579062
"REGION X - NORTHERN MINDANAO","MISAMIS ORIENTAL","CAGAYAN DE ORO CITY (Capital)","Balulang",34793,34567,8757,20458.51,2022,10.1179574678536,3438.73752291834
"REGION XI - DAVAO ","DAVAO DEL SUR","DAVAO CITY","Bucana",83964,83884,24558,20433.38,1163,17.5695442820292,4778.95149994764
"REGION XI - DAVAO ","DAVAO DEL SUR","DAVAO CITY","Buhangin (Pob.)",65461,64817,17092,20433.38,1163,17.5695442820292,3725.82230644171
"REGION XI - DAVAO ","DAVAO DEL SUR","DAVAO CITY","Ma-a",59803,56417,15679,20433.38,1163,17.5695442820292,3403.78777275223
"REGION XI - DAVAO ","DAVAO DEL SUR","DAVAO CITY","Talomo (Pob.)",59678,59322,14317,20433.38,1163,17.5695442820292,3396.67318867461
"REGION XI - DAVAO ","DAVAO DEL SUR","DAVAO CITY","Sasa",52386,52307,12131,20433.38,1163,17.5695442820292,2981.63681192245
"REGION XII - SOCCSKSARGEN","SOUTH COTABATO","GENERAL SANTOS CITY (DADIANGAS)","Calumpang",75342,75322,18892,22786.08,1195,19.0678493723849,3951.25839986518
"REGION XII - SOCCSKSARGEN","SOUTH COTABATO","GENERAL SANTOS CITY (DADIANGAS)","Fatima",66460,66460,15405,22786.08,1195,19.0678493723849,3485.44813324626
"REGION XII - SOCCSKSARGEN","SOUTH COTABATO","GENERAL SANTOS CITY (DADIANGAS)","Labangal",61713,61713,14668,22786.08,1195,19.0678493723849,3236.49504434286
"REGION XII - SOCCSKSARGEN","SOUTH COTABATO","GENERAL SANTOS CITY (DADIANGAS)","San Isidro (Lagao 2nd)",52832,52808,13347,22786.08,1195,19.0678493723849,2770.73722202327
"REGION XII - SOCCSKSARGEN","SOUTH COTABATO","GENERAL SANTOS CITY (DADIANGAS)","Lagao (1st & 3rd)",50789,50601,12713,22786.08,1195,19.0678493723849,2663.59351849901
"REGION XIII – CARAGA","SURIGAO DEL SUR","CITY OF BISLIG","Mangagoy",32464,32285,7355,21120.56,1311,16.1102669717773,2015.11247807823
"REGION XIII – CARAGA","AGUSAN DEL NORTE","BUTUAN CITY (Capital)","Libertad",21703,20875,5787,21120.56,1311,16.1102669717773,1347.15334252501
"REGION XIII – CARAGA","SURIGAO DEL NORTE","SURIGAO CITY (Capital)","Washington (Pob.)",18900,18618,4626,21120.56,1311,16.1102669717773,1173.16491608177
"REGION XIII – CARAGA","SURIGAO DEL NORTE","SURIGAO CITY (Capital)","Taft (Pob.)",18571,18455,4796,21120.56,1311,16.1102669717773,1152.74315643146
"REGION XIII – CARAGA","AGUSAN DEL SUR","TRENTO","Poblacion",18139,18118,4260,21120.56,1311,16.1102669717773,1125.92795834959
